Date,Regression (Sum of Yarra Glen-Warrandyte Interstation & Plenty 2 Mernda)
18/05/1899,191.1613
19/05/1899,197.6028
20/05/1899,147.773
21/05/1899,232.6776
22/05/1899,401.2076
23/05/1899,377.4659
24/05/1899,288.9628
25/05/1899,244.9312
26/05/1899,215.6098
27/05/1899,200.2126
28/05/1899,185.2181
29/05/1899,171.5216
30/05/1899,159.8669
31/05/1899,164.0912
1/06/1899,173.2368
2/06/1899,323.5558
3/06/1899,152.9729
4/06/1899,133.6842
5/06/1899,126.226
6/06/1899,123.4081
7/06/1899,153.0029
8/06/1899,216.1415
9/06/1899,254.1739
10/06/1899,262.1157
11/06/1899,625.0914
12/06/1899,842.8863
13/06/1899,963.922
14/06/1899,635.1162
15/06/1899,484.5298
16/06/1899,390.7321
17/06/1899,347.0188
18/06/1899,284.971
19/06/1899,243.2434
20/06/1899,218.3223
21/06/1899,226.325
22/06/1899,320.7863
23/06/1899,652.4897
24/06/1899,1099.066
25/06/1899,1343.865
26/06/1899,1074.682
27/06/1899,1096.112
28/06/1899,917.6331
29/06/1899,613.4822
30/06/1899,719.4144
1/07/1899,1150.171
2/07/1899,1281.653
3/07/1899,1911.504
4/07/1899,1959.783
5/07/1899,1647.865
6/07/1899,1336.247
7/07/1899,969.7706
8/07/1899,726.6075
9/07/1899,581.4966
10/07/1899,450.4539
11/07/1899,371.4825
12/07/1899,324.0783
13/07/1899,318.1618
14/07/1899,503.6349
15/07/1899,494.5082
16/07/1899,356.3552
17/07/1899,309.5425
18/07/1899,331.1183
19/07/1899,366.0593
20/07/1899,315.9817
21/07/1899,280.2035
22/07/1899,252.5495
23/07/1899,230.4832
24/07/1899,214.1096
25/07/1899,202.6384
26/07/1899,189.7361
27/07/1899,180.1703
28/07/1899,170.1082
29/07/1899,163.0994
30/07/1899,177.6598
31/07/1899,178.1975
1/08/1899,160.2473
2/08/1899,153.0316
3/08/1899,147.5096
4/08/1899,163.3158
5/08/1899,302.4183
6/08/1899,482.0409
7/08/1899,965.9684
8/08/1899,1512.327
9/08/1899,2670.942
10/08/1899,6362.928
11/08/1899,2714.841
12/08/1899,1979.075
13/08/1899,935.2579
14/08/1899,701.6936
15/08/1899,540.7677
16/08/1899,422.2264
17/08/1899,355.6151
18/08/1899,309.2745
19/08/1899,271.014
20/08/1899,242.7725
21/08/1899,220.3875
22/08/1899,201.2245
23/08/1899,186.1956
24/08/1899,176.0298
25/08/1899,167.0729
26/08/1899,159.2483
27/08/1899,152.2485
28/08/1899,145.9116
29/08/1899,140.1347
30/08/1899,134.8141
31/08/1899,129.9067
1/09/1899,125.3588
2/09/1899,121.1285
3/09/1899,117.1514
4/09/1899,113.4264
5/09/1899,110.5191
6/09/1899,107.4
7/09/1899,104.2973
8/09/1899,101.3408
9/09/1899,98.53
10/09/1899,95.88792
11/09/1899,93.58202
12/09/1899,91.84736
13/09/1899,93.26956
14/09/1899,93.13876
15/09/1899,89.00422
16/09/1899,104.0802
17/09/1899,229.1428
18/09/1899,265.9165
19/09/1899,181.7503
20/09/1899,149.0778
21/09/1899,141.1173
22/09/1899,133.2006
23/09/1899,150.3105
24/09/1899,170.0945
25/09/1899,152.2406
26/09/1899,141.6185
27/09/1899,130.4044
28/09/1899,126.8809
29/09/1899,125.1072
